Date,Name,Dosage type,Package type,Quantity,Price
Tue Mar 08 2022 02:11:33 GMT+0200 (Central Africa Time),Bacon,ape,woodwind,134,143.0
Fri Mar 04 2022 16:50:40 GMT+0200 (Central Africa Time),Chicken,mower,law,166,104.0
Sat May 14 2022 20:51:03 GMT+0200 (Central Africa Time),Computer,mention,unity,127,152.0
Wed Mar 23 2022 13:45:21 GMT+0200 (Central Africa Time),Soap,godfather,reason,151,145.0
Wed Jan 19 2022 11:12:54 GMT+0200 (Central Africa Time),Pizza,pliers,lobotomy,151,155.0
Sun Jan 02 2022 16:37:07 GMT+0200 (Central Africa Time),Bike,edge,peanut,140,162.0
Tue Jan 25 2022 02:32:50 GMT+0200 (Central Africa Time),Mouse,activity,economics,184,191.0
Tue Mar 01 2022 05:48:21 GMT+0200 (Central Africa Time),Table,tender,armament,120,149.0
Thu Apr 07 2022 06:31:26 GMT+0200 (Central Africa Time),Tuna,lever,cholesterol,111,113.0
Mon Jan 03 2022 16:45:16 GMT+0200 (Central Africa Time),Table,nutrition,soil,160,146.0
Fri Apr 08 2022 20:00:37 GMT+0200 (Central Africa Time),Keyboard,stealth,chime,111,117.0
Sun Mar 13 2022 08:22:42 GMT+0200 (Central Africa Time),Cheese,subgroup,underground,137,153.0
Thu Feb 24 2022 01:52:37 GMT+0200 (Central Africa Time),Cheese,sunflower,imagination,113,189.0
Mon Jan 10 2022 19:40:58 GMT+0200 (Central Africa Time),Chair,south,marketplace,121,119.0
Sat Jan 15 2022 15:34:31 GMT+0200 (Central Africa Time),Shirt,perennial,mare,101,164.0
Sat Feb 12 2022 20:29:29 GMT+0200 (Central Africa Time),Bacon,imagination,unit,103,182.0
Wed Mar 16 2022 03:31:25 GMT+0200 (Central Africa Time),Ball,pattern,environment,116,158.0
Sat Mar 26 2022 23:18:27 GMT+0200 (Central Africa Time),Hat,bulk,snuck,178,165.0
Tue Mar 15 2022 04:29:41 GMT+0200 (Central Africa Time),Shoes,overexertion,shift,118,185.0
Sun Feb 20 2022 20:50:15 GMT+0200 (Central Africa Time),Salad,vintage,hour,167,119.0
Sat Apr 16 2022 04:04:34 GMT+0200 (Central Africa Time),Computer,quarter,jeep,134,162.0
Thu Feb 03 2022 06:40:13 GMT+0200 (Central Africa Time),Ball,icicle,jam,172,134.0
Sat Apr 02 2022 21:37:38 GMT+0200 (Central Africa Time),Car,hike,pike,150,109.0
Tue Mar 08 2022 15:10:28 GMT+0200 (Central Africa Time),Keyboard,minnow,reef,118,109.0
Mon Mar 21 2022 16:02:26 GMT+0200 (Central Africa Time),Computer,fraudster,disclosure,193,156.0
Sat Feb 12 2022 13:05:43 GMT+0200 (Central Africa Time),Towels,lounge,statistics,189,195.0
Fri May 06 2022 20:26:55 GMT+0200 (Central Africa Time),Shirt,cent,apse,180,169.0
Tue May 03 2022 22:53:39 GMT+0200 (Central Africa Time),Car,lion,hamburger,159,153.0
Mon Mar 21 2022 06:48:20 GMT+0200 (Central Africa Time),Shoes,capitulation,diabetes,108,125.0
Wed Feb 02 2022 06:07:03 GMT+0200 (Central Africa Time),Pizza,reality,nurse,180,162.0
Mon Mar 28 2022 01:36:59 GMT+0200 (Central Africa Time),Keyboard,wrench,record,187,177.0
Thu May 05 2022 12:12:44 GMT+0200 (Central Africa Time),Bike,nature,toaster,193,117.0
Thu Jan 13 2022 07:46:40 GMT+0200 (Central Africa Time),Ball,care,dare,195,102.0
Sun Mar 20 2022 15:49:56 GMT+0200 (Central Africa Time),Hat,insect,detention,191,104.0
Tue Jan 18 2022 03:53:14 GMT+0200 (Central Africa Time),Tuna,neglect,server,118,167.0
Sun Feb 20 2022 17:56:34 GMT+0200 (Central Africa Time),Chicken,provision,gopher,175,165.0
Sat Apr 16 2022 16:20:29 GMT+0200 (Central Africa Time),Sausages,wonder,specification,103,109.0
Sat Apr 02 2022 07:36:37 GMT+0200 (Central Africa Time),Tuna,establishment,fan,169,151.0
Sat Feb 05 2022 21:09:17 GMT+0200 (Central Africa Time),Shirt,dinner,bakeware,139,156.0
Tue Mar 22 2022 15:01:57 GMT+0200 (Central Africa Time),Bike,horse,tiara,117,140.0
Sun Apr 17 2022 02:50:17 GMT+0200 (Central Africa Time),Mouse,help,ripple,136,143.0
Sun Mar 20 2022 00:19:56 GMT+0200 (Central Africa Time),Shoes,pineapple,wrap,167,142.0
Mon May 16 2022 02:07:02 GMT+0200 (Central Africa Time),Bacon,watch,gear,139,129.0
Mon Jan 31 2022 22:04:56 GMT+0200 (Central Africa Time),Chicken,employment,violence,187,135.0
Sat Apr 02 2022 19:31:15 GMT+0200 (Central Africa Time),Keyboard,gravy,liner,172,176.0
Thu Mar 24 2022 14:34:15 GMT+0200 (Central Africa Time),Pants,hat,integral,121,180.0
Mon Apr 04 2022 05:25:33 GMT+0200 (Central Africa Time),Salad,biology,religion,195,118.0
Tue Apr 26 2022 15:17:12 GMT+0200 (Central Africa Time),Cheese,petal,eleventh,129,190.0
Fri Jan 07 2022 06:44:48 GMT+0200 (Central Africa Time),Chips,ethnicity,shearling,100,165.0
Wed Apr 06 2022 22:47:07 GMT+0200 (Central Africa Time),Fish,flesh,autumn,128,156.0
Fri Mar 18 2022 17:10:56 GMT+0200 (Central Africa Time),Pizza,carbohydrate,neon,159,198.0
Sat Feb 12 2022 10:40:26 GMT+0200 (Central Africa Time),Mouse,policy,enterprise,180,126.0
Thu Feb 24 2022 00:49:28 GMT+0200 (Central Africa Time),Car,alpenglow,drunk,119,117.0
Mon Mar 14 2022 07:16:49 GMT+0200 (Central Africa Time),Tuna,remains,plea,104,196.0
Mon May 02 2022 04:06:02 GMT+0200 (Central Africa Time),Bacon,tachometer,dhow,195,136.0
Thu Apr 28 2022 11:50:14 GMT+0200 (Central Africa Time),Fish,solitaire,line,172,134.0
Thu Apr 21 2022 21:14:23 GMT+0200 (Central Africa Time),Pizza,blue,eel,170,191.0
Fri Apr 08 2022 21:40:36 GMT+0200 (Central Africa Time),Gloves,yawl,slice,127,191.0
Thu Apr 07 2022 17:40:19 GMT+0200 (Central Africa Time),Bacon,rule,tractor,162,182.0
Sun May 01 2022 06:38:51 GMT+0200 (Central Africa Time),Tuna,flugelhorn,lack,116,135.0
Mon Jan 10 2022 02:31:42 GMT+0200 (Central Africa Time),Gloves,imitation,cereal,107,113.0
Fri Apr 22 2022 22:18:36 GMT+0200 (Central Africa Time),Bike,chapter,booklet,131,121.0
Fri May 13 2022 23:03:06 GMT+0200 (Central Africa Time),Shirt,outlook,cross-stitch,139,170.0
Tue Feb 08 2022 20:00:14 GMT+0200 (Central Africa Time),Keyboard,nonsense,foot,118,157.0
Sat Feb 05 2022 19:08:30 GMT+0200 (Central Africa Time),Sausages,coffee,lanai,177,198.0
Thu Mar 24 2022 02:42:48 GMT+0200 (Central Africa Time),Cheese,feeding,stir-fry,148,135.0
Mon Jan 24 2022 14:14:31 GMT+0200 (Central Africa Time),Table,measles,weapon,165,195.0
Thu May 19 2022 04:06:55 GMT+0200 (Central Africa Time),Cheese,consulting,member,199,162.0
Sat Mar 12 2022 11:22:59 GMT+0200 (Central Africa Time),Fish,suggestion,vein,109,126.0
Fri Mar 11 2022 06:31:29 GMT+0200 (Central Africa Time),Shirt,resist,oat,158,102.0
Tue Jan 11 2022 13:17:14 GMT+0200 (Central Africa Time),Chicken,disconnection,boxer,117,165.0
Fri May 06 2022 22:16:06 GMT+0200 (Central Africa Time),Bike,plough,pegboard,114,163.0
